list_id,list_title,price,property_type,agent_name,agency_name,date_published,date_updated
130087349433,"Tria Residences, Jalan Klang Lama (Old Klang Road), Jalan Klang Lama (Old Klang Road)"," RM1,060,000",Apartment,Jocelyn Chai,POLYGON PROPERTIES SDN BHD,24 Sep 2023, 24 Sep 2023
130087349430,"Jalan Ceria 46, Bandar Putra, Kulai (Gate B), Kulai"," RM1,200,000",House,Caryn Ter,THE ROOF REALTY  - JOH,24 Sep 2023, 24 Sep 2023
130087349423,"Ampang Taman Muda, Ampang"," RM1,200,000",Townhouse,Stacy Young,PROPNEX REALTY SDN BHD,24 Sep 2023, 24 Sep 2023
130087349422,"Quayside Condominium, Tanjung Tokong, Tanjong Tokong"," RM2,400,000",Apartment,Billy Teh,SINCERE R,24 Sep 2023, 24 Sep 2023
130087349418,"Kensington Residency Bandar Indahpura Kulai(Corner, Kulai"," RM1,250,000",Townhouse,Caryn Ter,THE ROOF REALTY  - JOH,24 Sep 2023, 24 Sep 2023
130087349419,"Casa Idaman, Setia Alam, Setia Alam"," RM2,680,000",House,Guna,THE ROOF REALTY SDN. BHD. - KLANG,24 Sep 2023, 24 Sep 2023
130087349421,"Indahpura @ Kulai, Indahpura @ Kulai, Kulai"," RM9,500,000",Land/Development,Zeng Xing,THE ROOF REALTY  - JOH,24 Sep 2023, 24 Sep 2023
130087349400,"Adda Height, Johor Bahr"," RM1,200,000",House,Edmund Oh,PROPNEX REALTY SDN. BHD. - JB,24 Sep 2023, 24 Sep 2023
130087349407,"Abadi Heights, Pulau Meranti, Puchong, Puchong"," RM1,200,000",House,Grace Hee,IQI REALTY SDN. BHD.,24 Sep 2023, 24 Sep 2023
130087349410,"Bandar Kinrara Second Floor Office, Puchong, Bandar Kinrara"," RM800,000",Retail,Tham,REAL ESTATE FINDERS (MY) SDN. BHD. (KEPONG),24 Sep 2023, 24 Sep 2023
130087349411,"2str Shop For Sale @ Subang Jaya / USJ / Putra Height / Shah Alam , null, Putra Heights"," RM1,188,640",Retail,David Wan,ONE MAKER REALTY SDN BHD,24 Sep 2023, 24 Sep 2023
130087349414,"Penang, Pulau Tikus"," RM4,900,000",House,Steven Yeon,IMAZING REALTY SDN BHD,24 Sep 2023, 24 Sep 2023
130087349387,"Seri Kembangan Gita Bayu, Seri Kembanga"," RM8,500,000",House,Stacy Young,PROPNEX REALTY SDN BHD,24 Sep 2023, 24 Sep 2023
130087349390,Kuching," RM1,100,000",Rural,Melvin Chong,ACTFAST PROPERTIES,24 Sep 2023, 24 Sep 2023
130087349391,Krubong," RM658,000",House,Mable Tung,IPG REALTY SDN BHD,24 Sep 2023, 24 Sep 2023
130087349393,Masai," RM1,000,000",Retail,Jason Tang,ADVERTIS,24 Sep 2023, 24 Sep 2023
130087349395,"Aira Residence, Damansara Heights, Damansara Heights"," RM8,000,000",Apartment,Ashvina Kaur,DUTAMA PROPERTIES,24 Sep 2023, 24 Sep 2023
130087349396,"KOTA HARMONI, Seksyen 27, Shah Alam"," RM2,800,000",House,Ali Syareeza,IQI REALTY SDN. BHD.,24 Sep 2023, 24 Sep 2023
130087349397,"UNA, Cheras, Cheras"," RM1,199,000",Apartment,Aaron Yeoh,IQI REALTY SDN. BHD.,24 Sep 2023, 24 Sep 2023
130087349367,"20 Trees, Contours Melawati, Sunway Rydgeway, Taman Melawati"," RM1,500,000",Townhouse,Jack Ho,PROPNEX REALTY SDN BHD,24 Sep 2023, 24 Sep 2023
130087349364,"Tampoi, Tampoi"," RM7,500,000",Industrial/Warehouse,Kinki Loh,ADVERTIS,24 Sep 2023, 24 Sep 2023
130087349365,Klebang," RM1,350,000",House,Danny Kuah,IQI REALTY SDN. BHD. - MELAK,24 Sep 2023, 24 Sep 2023
130087349347,"Office Building KL City, Jalan Tun Razak, Taman U Thant, KL, Kuala Lumpur, null, KL City"," RM265,000,000",Retail,Patsy Koh,AVENUE HOME R,24 Sep 2023, 24 Sep 2023
130087349355,"Alam perdana, Puchong"," RM3,850,000",Industrial/Warehouse,Joanne Soh,CBD PROPERTIES SDN. BHD.,24 Sep 2023, 24 Sep 2023
130087349356,"Bandar Damai Perdana, Bandar Damai Perdana"," RM1,300,000",Townhouse,Felix Wong,IQI REALTY SDN. BHD.,24 Sep 2023, 24 Sep 2023
